country_id,country_name,continent
1,AFGANISTAN,Asia
2,ALBANIA,Asia
3,ALEMANIA,Europe
4,ANGOLA,Africa
5,ANTIGUA Y BARBUDA,North America
6,ANTILLAS NEERLANDESAS,North America
7,ARABIA SAUDITA,Asia
8,ARGELIA,Africa
9,ARGENTINA,South America
10,ARUBA,South America
11,AUSTRALIA,Oceania
12,AUSTRIA,Europe
13,AZERBAIJAN,Asia
14,BAHAMAS,North America
15,BAHREIN,Asia
16,BANGLADESH,Asia
17,BARBADOS,North America
18,BELGICA,Europe
19,BELICE,Central America
20,BERMUDAS,North America
21,BIELORRUSIA,Europe
22,BOLIVIA,South America
23,BOSNIA-HERZEGOVINA,Europe
24,BOSTWANA,Africa
25,BRASIL,South America
26,BRUNEI,Asia
27,BULGARIA,Europe
28,CABO VERDE,Africa
29,CAMBOYA(KAMPUCHEA),Asia
30,CAMERUN,Africa
31,CANADA,North America
32,CEUTA Y MELILLA,Africa
33,CHAD,Africa
34,CHILE,South America
35,CHINA,Asia
36,CHIPRE,Europe
37,COLOMBIA,South America
38,COMORAS,Africa
39,CONGO,Africa
40,COREA DEL NORTE,Asia
41,COREA DEL SUR,Asia
42,COSTA DE MARFIL,Africa
43,COSTA RICA,Central America
44,CROACIA,Europe
45,CUBA,North America
46,CURACAO,South America
47,DINAMARCA,Europe
48,DJIBOUTI,Africa
49,DOMINICA,North America
50,ECUADOR,South America
51,EGIPTO,Africa
52,EL SALVADOR,Central America
53,EMIRATOS ARABES UNIDOS,Asia
54,ESLOVAQUIA,Europe
55,ESLOVENIA,Europe
56,ESPA\A,Europe
57,ESTADOS UNIDOS DE AMERICA,North America
58,ESTONIA,Europe
59,ETIOPIA,Africa
60,FEDERACION DE ESTADOS DE MICRONESIA,Oceania
61,FILIPINAS,Asia
62,FINLANDIA,Europe
63,FRANCIA,Europe
64,GABON,Africa
65,GAMBIA,Africa
66,GEORGIA,Asia
67,GHANA,Africa
68,GIBRALTAR,Europe
69,GRECIA,Europe
70,GROENLANDIA,North America
71,GUADALUPE,North America
72,GUATEMALA,Central America
73,GUINEA,Africa
74,GUINEA ECUATORIAL,Africa
75,GUYANA,South America
76,GUYANA FRANCESA,South America
77,HAITI,North America
78,HONDURAS,Central America
79,HONG KONG,Asia
80,HUNGRIA,Europe
81,INDIA,Asia
82,INDONESIA,Asia
83,IRAN,Asia
84,IRAK,Asia
85,IRLANDA,Europe
86,ISLA DE MAN,Europe
87,ISLANDIA,Europe
88,ISLAS CAIMAN,North America
89,ISLAS CANARIAS,Africa
90,ISLAS MALVINAS(FALKLAND),South America
91,ISLAS MARIANAS DEL NORTE,Oceania
92,ISLAS TURCAS Y CAICOS,Central America
93,ISLAS VIRGENES (GB),North America
94,ISRAEL,Asia
95,ITALIA,Europe
96,JAMAICA,North America
97,JAPON,Asia
98,JORDANIA,Asia
99,KAZAJSTAN,Asia
100,KENIA,Africa
101,KIRGUIZISTAN,Asia
102,KIRIBATI,Oceania
103,KOSOVO,Europe
104,KUWAIT,Asia
105,LAOS,Asia
106,LETONIA,Europe
107,LIBANO,Asia
108,LIBERIA,Africa
109,LIBIA,Africa
110,LIECHTENSTEIN,Europe
111,LITUANIA,Europe
112,LUXEMBURGO,Europe
113,MACAO,Asia
114,MADAGASCAR,Africa
115,MALASIA,Asia
116,MALAWI,Africa
117,MALDIVAS(ISLAS),Asia
118,MALI,Africa
119,MALTA,Europe
120,MARRUECOS,Africa
121,MAURICIO,Africa
122,MEXICO,North America
123,MOLDAVIA,Europe
124,MONGOLIA,Asia
125,MONTENEGRO,Europe
126,MOZAMBIQUE,Africa
127,MYANMAR,Asia
128,NAMIBIA,Africa
129,NAURU,Oceania
130,NEPAL,Asia
131,NICARAGUA,Central America
132,NIGERIA,Africa
133,NORUEGA,Europe
134,NUEVA ZELANDA,Oceania
135,OMAN,Asia
136,PAISES BAJOS,Europe
137,PAKISTAN,Asia
138,PANAMA,Central America
139,PAPUA NUEVA GUINEA,Oceania
140,PARAGUAY,South America
141,PERU,South America
142,POLONIA,Europe
143,PORTUGAL,Europe
144,PRINCIPADO DE MONACO,Europe
145,PUERTO RICO,North America
146,QATAR,Asia
147,R.DOMINICANA,North America
148,REGIONES POLARES,
149,REINO UNIDO,Europe
150,REPUBLICA CENTROAFRICANA,Africa
151,REPUBLICA CHECA,Europe
152,REPUBLICA DE MACEDONIA DEL NORTE,Europe
153,REPUBLICA DEMOCRATICA DEL CONGO,Africa
154,REUNION,Africa
155,RUANDA,Africa
156,RUMANIA,Europe
157,RUSIA,Asia
158,SAN MARINO,Europe
159,SAN PEDRO Y MIQUELON,North America
160,SENEGAL,Africa
161,SERBIA,Europe
162,SIERRA LEONA,Africa
163,SINGAPUR,Asia
164,SIRIA,Asia
165,SOMALIA,Africa
166,SRI LANKA,Asia
167,SUDAFRICA,Africa
168,SUECIA,Europe
169,SUIZA,Europe
170,SURINAN,South America
171,TAHITI,Oceania
172,TAILANDIA,Asia
173,TAIWAN,Asia
174,TANZANIA,Africa
175,TERRITORIO BRITANICO DEL OCEANO INDICO,Asia
176,TOGO,Africa
177,TRINIDAD Y TOBAGO,South America
178,TUNEZ,Africa
179,TURKMENISTAN,Asia
180,TURQUIA,Europe
181,UCRANIA,Europe
182,URUGUAY,South America
183,UZBEKISTAN,Asia
184,VENEZUELA,South America
185,VIETNAM,Asia
186,YEMEN,Asia
187,ZA FRCA GLOBAL,
188,ZA FRCA TRANSTRADE,
189,ZIMBABWE,Africa
