operation_id,operation,regime
AB01,EXPORTACION,REEXPORTACION APROVISIONAMIENTO A BORDO
AFC1,EXPORTACION,EXPORTACION COMPLEMENTARIA
DAAB,IMPORTACION,INGRESO A DEPOSITO PARA APROVISIONAMIENTO DE A BORDO
DSEM,EXPORTACION,DESPACHO SIMPLIFICADO DE EXPORTACIONES MENORES
EC01,EXPORTACION,EXPORTACION A CONSUMO
EC02,EXPORTACION,EXPORTACION A CONSUMO C/DIT SIN TRANSFORMACION
EC03,EXPORTACION,EXPORTACION A CONSUMO C/DIT CON TRANFORMACION
EC04,EXPORTACION,EXPORTACION A CONSUMO DE EXP. C/ RESERVA DE RETORNO
EC09,EXPORTACION,REEXPORTACION DESDE DEPOSITO ADUANERO
EC15,EXPORTACION,EXPORTACION A CONSUMO CON ENVASE
ECL1,EXPORTACION,EXPORTACION DE CONSUMO LEASING
ECMA,EXPORTACION,REEXPORTACION MONTADA
EFC1,EXPORTACION,EXPORTACION COMPLEMENTARIA
EM01,EXPORTACION,EXPORTACION MAQUILA
ER04,EXPORTACION,EXPORT A CONSUMO DE EXP. C/ RESERVA RETORNO C/ TRANF.
ERMA,EXPORTACION,REEXPORTACION AERONAVE
ERR1,EXPORTACION,EXPORTACION C/ RESERVA DE RETORNO
ET01,EXPORTACION,EXPORTACION TEMPORAL
ET02,EXPORTACION,EXPORTACION TEMPORAL. PERFECCIONA PASIVO
EVM1,EXPORTACION,EXPORTACION MAQUILA VIRTUAL
IC01,IMPORTACION,RE-IMPORT DE EXPORTACION TEMPORAL
IC02,IMPORTACION,RE-IMPORT DE EXPORTACION TEMPORAL. PERFECCIONA PASIVO
IC03,IMPORTACION,REGULARIZACION LEY 608/95
IC04,IMPORTACION,IMPORTACION A CONSUMO CON DOCUMENTO DE TRANSPORTE
IC05,IMPORTACION,IMPORTACION DIRECTO A CONSUMO C/ DOC. DE TRANSPORTE
IC06,IMPORTACION,IMPORTACION DEPOSITO ADUANERO
IC07,IMPORTACION,IMPORTACION A CONSUMO DE IMP.TEMPORAL S/ TRANSFORMACION
IC08,IMPORTACION,IMPORTACION A CONSUMO DE IMP. TEMPORAL C/ TRANSFOMACION
IC09,IMPORTACION,IMPORTACION A CONSUMO DESDE DEPOSITO ADUANERO
IC10,IMPORTACION,IMPORTACION A CONSUMO DE EXP. C/ RESERVA DE RETORNO
IC12,IMPORTACION,"NACIONA.MAQUILA MATERIAS PRIMAS, INSUMOS, DESPERDICIOS"
IC13,IMPORTACION,RE IMPORTACION DE EXPORTACION DEFINITIVA RECHAZADA
IC19,IMPORTACION,NACIONALIZACION DE DEPOSITO DE OEC
IC20,IMPORTACION,IMPORTACION ANTICIPADA OEA
ICAB,IMPORTACION,IMPORTACION A CONSUMO DE APROVISIONAMIENTO A BORDO
ICL1,IMPORTACION,IMPORTACION A CONSUMO LEASING
ICMA,IMPORTACION,INGRESO A CONSUMO DEFINITIVO
ID04,IMPORTACION,IMPORTACION DIPLOMATICA CON DOCUMENTO DE TRANSPORTE
ID09,IMPORTACION,IMPORTACION DIPLOMATICA DESDE DEPOSITO ADUANERO
